Severity,Open Issues,Location,Opened,Where,Maintainer,Audit Status
508-defect-3 – Minor,[COGNITION]: Buttons - All buttons SHOULD have a darker shade on hover and focus - #9087,Production,"May 13, 2019",Formation Design System,VSP,Audit underway by VSP as of May 2020.
508-defect-3 – Minor,[COGNITION]: Breadcrumbs - Lists SHOULD announce the number of items in VoiceOver - #9085,Production,"May 13, 2019",Formation Design System,VSP,Audit underway by VSP as of May 2020.
508-defect-3 – Minor,[COGNITION]: Breadcrumbs - Links SHOULD NOT be announced when component re-renders - #9031,Production,"May 13, 2019",Formation Design System,VSP,Audit underway by VSP as of May 2020.
508-defect-3 – Minor,[COGNITION]: Alert Box - Icons SHOULD NOT be invisible tab stops for screen readers - #9028,Production,"May 13, 2019",Formation Design System,VSP,Audit underway by VSP as of May 2020.
508-defect-3 – Minor,[COGNITION]: Modals - CONSIDER updating HTML in modal dialogs to increase understanding - #9182,Production,"May 15, 2019",Formation Design System,VSP,Audit underway by VSP as of May 2020.
508-defect-1 – Critical,[FUNCTIONALITY]: Modal - Focus MUST be set correctly on the window for all screen readers - #9231,Production,"May 18, 2019",Formation Design System,VSP,Audit underway by VSP as of May 2020.
508-defect-3 – Minor,[COGNITION]: Sortable Table - Buttons MUST look like clickable UI elements - #9193,Production,"May 18, 2019",Formation Design System,VSP,Audit underway by VSP as of May 2020.
508-defect-1 – Critical,"[SCREENREADER]: Inline error messages are announcing to screen readers on correction, not on subsequent errors - #314",Production,"June 18, 2019",Formation Design System,VSP,Audit underway by VSP as of May 2020.
508-defect-2 – Serious,[SCREENREADER]: JAWS does not announce some sections of the multi-step forms when loaded - #317,Production,"June 18, 2019",Sitewide,VSP & VSA,Not applicable. Issues should be completed as soon as possible.
508-defect-2 – Serious,[SCREENREADER]: Text and inputs added dynamically should be announced by screen readers - #316,Production,"June 18, 2019",Sitewide,VSP & VSA,Not applicable. Issues should be completed as soon as possible.
508-defect-4 – Trivial,[SCREENREADER]: JAWS + Chrome enables focus mode when we focus breadcrumb UL on page load - #319,Production,"June 18, 2019",Sitewide,VSP,Not applicable. Issues should be completed as soon as possible.
508-defect-4 – Trivial,[SCREENREADER]: Review sections with no header cause aria-label errors - #318,Production,"June 18, 2019",Sitewide,VSP,Not applicable. Issues should be completed as soon as possible.
508-defect-4 – Trivial,Implement utility class for removing gold outline during focus - #457,Production,"July 1, 2019",Sitewide,VSP,Not applicable. Issues should be completed as soon as possible.
508-defect-4 – Trivial,[USABILITY]: Application saved message could be missed by assistive devices - #182,Production,"July 1, 2019",Sitewide,VSP,Not applicable. Issues should be completed as soon as possible.
508-defect-2 – Serious,[SCREENREADER]: Legends must be first child element of fieldesets for tabbing navigation - #767,Production,"July 31, 2019",Sitewide,VSP,Not applicable. Issues should be completed as soon as possible.
508-defect-2 – Serious,[KEYBOARD]: main nav accessibility -- tabbing in small screens - #1144,Production,"August 20, 2019",Sitewide,VSP,Not applicable. Issues should be completed as soon as possible.
508-defect-4 – Trivial,[EXPLORATION]: Turn on jsx-a11y ESLint rules - #1139,Production,"August 20, 2019",Sitewide,VSP,Not applicable. Issues should be completed as soon as possible.
508-defect-4 – Trivial,[EXPLORATION]: Disable known buggy axe rules individually - #1140,Production,"August 20, 2019",Sitewide,VSP,Not applicable. Issues should be completed as soon as possible.
508-defect-4 – Trivial,"[EXPLORATION]: Reconsider structure of multiple pages within a single ""part"" of a form - #1145",Production,"August 20, 2019",Sitewide,VSP,Not applicable. Issues should be completed as soon as possible.
