Error pattern/message,Error Desc,occurance in set,
form.disabilities[].ratedDisability.isInvalid,The rated disability being claimed for increase was not found for Disability,10555,May be bigger discussion
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.Future,must be in the future,1941,
form.veteran.preferredVbmsName.firstName.Pattern,"must match ""([a-zA-Z0-9-/']+( ?))+$""",1930,
form.veteran.currentMailingAddress.NotNull,may not be null,459,
header.va_eauth_birthdate.isNull,Date of Birth is missing,143,
form.treatments[].startDate.year.Pattern,"must match ""^[1-9]\d{3}$""",118,
form.serviceInformation.TitlePastActiveDutyDate,The Title 10 Activation Date for a claimant currently activated in the Reserves or National Guard is a future date,117,
form.disabilities.Size,size must be between 1 and 150,62,
form.serviceInformation.servicePeriods[].activeDutyBeginDate,The active duty start date cannot be prior to the claimants 13th birthday,59,
form.disabilities[].disabilityActionTypeNONE.ratedDisability.isInvalid,An attempt was made to add a secondary disability to an existing rated Disability. The rated Disability could not be found,57,
form.serviceInformation.alternateNames.AlternateNameDuplicate,Names that you served under cannot be entered more than once,46,
form.serviceInformation.separationLocationCode.isInvalidValue,The separation location code for the claimant is not a valid value,46,
form.standardClaim.NotNull,may not be null,36,
form.veteran.homelessness.homelessnessRisk.otherLivingSituation.Size,size must be between 1 and 500,30,
form.disabilities[].serviceRelevance.Size,size must be between 1 and 500,29,
form.disabilities[].name.isInvalidSize,must be between 1 and 255 characters,28,
form.directDeposit.accountNumber.Size,size must be between 4 and 17,27,
form.veteran.currentMailingAddress.militaryPostOfficeTypeCode.IsNotValid,Invalid value: APO ,24,
form.veteran.currentMailingAddress.militaryPostOfficeTypeCode.IsNotValid,Invalid value: apo,23,
form.treatments[].center.name.Pattern,"must match ""([a-zA-Z0-9""/&()\-'.,# ]([a-zA-Z0-9()\-'.,# ])?)+$""",21,
form.veteran.changeOfAddress.ChangeOfAddressBeginningDate,The Beginning Date can not be in the past for a temporary address,16,
header.va_eauth_birlsfilenumber.Invalid,Size must be between 8 and 9,14,
form.disabilities[].specialIssues.IsNotValid,Invalid value: specialIssues,11,
form.treatments[].TreatmentPastActiveDutyDate,The start date for a treatment record cannot be prior to the earliest period of service,11,
form.veteran.currentMailingAddress.militaryPostOfficeTypeCode.IsNotValid,Invalid value: Apo,11,
form.serviceInformation.ActiveDutyEndDateMoreThanDays,Service members cannot submit a claim until they are within 180 days of their separation date,10,
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.IsNotValid,Invalid value: 2022-02-29,9,
form.veteran.currentMailingAddress.militaryPostOfficeTypeCode.IsNotValid,Invalid value: fpo,9,
form.veteran.currentMailingAddress.militaryPostOfficeTypeCode.IsNotValid,Invalid value: FPO ,8,
header.va_eauth_birlsfilenumber.isNull,File Number is missing,8,
form.veteran.homelessness.pointOfContact.pointOfContactName.Pattern,"must match ""([a-zA-Z0-9-/']+( ?))*$""",8,
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.IsNotValid,Invalid value: 2023-02-29,7,
form.veteran.currentlyVAEmployee.NotNull,may not be null,7,
form.serviceInformation.ConfinementWithInServicePeriod,Your period of confinement must be within a single period of service,7,
form.disabilities[].classificationCode.isInvalidValue,The classification code for a claimants primary disability is not a valid value,6,
form.serviceInformation.reservesNationalGuardService.obligationTermOfServiceFromDate.IsNotValid,Invalid value: 0000-01-01,4,
form.veteran.preferredVbmsName.lastName.Pattern,"must match ""([a-zA-Z0-9-/']+( ?))+$""",4,
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.IsNotValid,Invalid value: 2023-02-31,4,
form.treatments[].StartEndDate,The startDate must be before the endDate,4,
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.IsNotValid,Invalid value: 2001-11-31,3,
form.disabilities[].name,"must match ([a-zA-Z0-9\-'.,/\(\)]([a-zA-Z0-9\-',. ])?)+$",3,
form.veteran.changeOfAddress.endingDate.IsNotValid,Invalid value: 2020-XX-01,2,
form.veteran.currentMailingAddress.militaryPostOfficeTypeCode.IsNotValid,Invalid value: APo,2,
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.IsNotValid,Invalid value: 2021-09-31,2,
form.veteran.currentMailingAddress.militaryPostOfficeTypeCode.IsNotValid,Invalid value: fpo ,2,
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.IsNotValid,Invalid value: 2013-06-31,2,
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.IsNotValid,Invalid value: 2022-04-31,2,
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.IsNotValid,Invalid value: 2022-09-31,2,
form.serviceInformation.servicePeriods[].activeDutyBeginDate.Past,must be in the past,2,
form.serviceInformation.reservesNationalGuardService.titleActivation.anticipatedSeparationDate.IsNotValid,Invalid value: 2022-02-30,2,
form.veteran.currentMailingAddress.militaryPostOfficeTypeCode.IsNotValid,Invalid value: Apo ,2,
form.veteran.homelessness.currentlyHomeless.otherLivingSituation.Size,size must be between 1 and 500,2,
form.directDeposit.routingNumber.Pattern,"must match ""\d{9}""",2,
form.disabilities[].diagnosticCode.isNull,The diagnostic code for a disability being claimed for increase is missing,1,
form.veteran.preferredVbmsName.middleName.Pattern,"must match ""([a-zA-Z0-9-/']+( ?))*$""",1,
form.veteran.changeOfAddress.endingDate.IsNotValid,Invalid value: 2024-XX-XX,1,
