CLMANT_TXT,CNTNTN_CLSFCN_ID,SPECL_ISSUE_TYPE_CD,PERSON_SPECL_STATUS_TYPE_NM,
ALS,9007,ALS,,
AMYOTROPHIC LATERAL SCLEROSIS,9007,ALS,,
AMYOTROPHIC LATERAL SCLEROSIS (ALS),9007,ALS,,
HEART CONDITION-AGENT ORANGE,8979,AOIV,,
HYPERTENSION (AGENT ORANGE),8979,AOIV,,
DIABETES TYPE II (AGENT ORANGE),8973,AOIV,,
DIABETES TYPE II AGENT ORANGE,8973,AOIV,,
LUNG CANCER-AGENT ORANGE,1230,AOIV,,
HEART DISEASE AGENT ORANGE,8979,AOIV,,
DIABETES TYPE II-AGENT ORANGE,8973,AOIV,,
CORONARY ARTERY DISEASE-AGENT ORANGE,8979,AOIV,,
HYPERTENSION AGENT ORANGE,8979,AOIV,,
LUNG CANCER (AGENT ORANGE),1230,AOIV,,
HEART DISEASE-AGENT ORANGE,8979,AOIV,,
LUNG CANCER AGENT ORANGE,1230,AOIV,,
DIABETES TYPE 2-DUE TO AOE,8973,AOIV,,
DIABETES AGENT ORANGE EXPOSED,8973,AOIV,,
IHD (AO),8979,AOIV,,
IHD-DUE TO AOE,8979,AOIV,,
HYPERTENSION-AGENT ORANGE,8979,AOIV,,
ISCHEMIC HEART DISEASE AO,8979,AOIV,,
DIABETES-AGENT ORANGE EXPOSED,8973,AOIV,,
DIABETES-AGENT ORANGE EXPOSURE,8973,AOIV,,
TYPE II DIABETES-AGENT ORANGE,8973,AOIV,,
PROSTATE CANCER AO,8935,AOIV,,
LUNG CANCER - AGENT ORANGE,1230,AOIV,,
DIABETES AO,8973,AOIV,,
DMII (AO),8973,AOIV,,
PROSTATE CANCER-AGENT ORANGE EXPOSURE,8935,AOIV,,
DMII DUE TO AO EXPOSURE,8973,AOIV,,
IHD (AGENT ORANGE),8979,AOIV,,
DIABETES TYPE 2 AGENT ORANGE,8973,AOIV,,
ISCHEMIC HEART DISEASE-AO,8979,AOIV,,
PROSTATE CANCER (AGENT ORANGE EXPOSURE),8935,AOIV,,
SKIN CONDITION (AGENT ORANGE),9016,AOIV,,
PERIPHERAL NEUROPATHY-AGENT ORANGE,9006,AOIV,,
TYPE II DIABETES (AGENT ORANGE),8973,AOIV,,
HIGH BLOOD PRESSURE AGENT ORANGE,8979,AOIV,,
PROSTATE CANCER- AGENT ORANGE,8935,AOIV,,
SKIN CANCER AGENT ORANGE,1250,AOIV,,
TYPE II DIABETES AGENT ORANGE,8973,AOIV,,
CAD (AO),8979,AOIV,,
HEART CONDITION - AGENT ORANGE,8979,AOIV,,
IHD DUE TO AGENT ORANGE,8979,AOIV,,
AO - DIABETES,8973,AOIV,,
SKIN CANCER (AGENT ORANGE),1250,AOIV,,
HEART DISEASE - AGENT ORANGE,8979,AOIV,,
CORONARY ARTERY DISEASE AGENT ORANGE,8979,AOIV,,
PROSTATE CANCER - AGENT ORANGE EXPOSURE,8935,AOIV,,
TYPE 2 DIABETES AGENT ORANGE,8973,AOIV,,
