Condition_ID, Condition_TXT
10, "Abnormal heart"
20, "Abnormal Mitral Valve"
30, "Abnormal weight loss"
40, "Abscess, brain"
50, "Abscess, kidney"
60, "Abscess, liver"
70, "Acne"
80, "Acromegaly"
90, "Acute Nonlymphocytic Leukemia"
110, "Adenocarcinoma"
120, "Adenomyoepithelioma"
130, "Adhesions"
140, "Aging"
150, "Agoraphobia"
160, "AIDS"
170, "Alcohol abuse"
180, "Allergies"
190, "ALS (Amyotrophic lateral sclerosis)"
200, "Alveolar abscesses"
210, "Amebiasis"
220, "Amputation"
230, "Amputation, above the knee"
240, "Amputation, arm, forearm, or hand"
250, "Amputation, below the knee"
260, "Amputation, foot or feet"
270, "Amputation, leg or legs"
280, "Amputation, multiple fingers"
290, "Amputation, single finger"
300, "Amputation, toe or toes"
310, "Amyotrophic lateral sclerosis"
320, "Anatomical loss"
330, "Anemia, primary"
340, "Aneurysm"
350, "Angina"
360, "Ankle condition, bilateral"
370, "Ankle condition, left"
380, "Ankle condition, right"
390, "Ankle sprain"
400, "Ankle strain"
410, "Anxiety condition"
420, "Arm condition, bilateral"
430, "Arm condition, left"
440, "Arm condition, right"
450, "Arrhythmia"
460, "Arteriosclerosis"
470, "Arteriosclerosis obliterans"
480, "Arteriosclerotic heart disease"
490, "Arthritis"
500, "Arthritis, degenerative"
510, "Arthritis, due to trauma"
520, "Asbestosis (asbestos disease)"
540, "Asthma"
550, "Atherosclerosis"
560, "Atherosclerotic peripheral vascular disease"
570, "Athlete's Foot"
580, "Atrophy, progressive muscular"
590, "Avitaminosis"
600, "Back condition"
610, "Back injury"
620, "Back sprain"
630, "Back strain"
640, "Basaloma"
650, "Bell's palsy"
660, "Beriberi (including Beriberi heart disease)"
670, "Bipolar disorder"
680, "Birth defect in a child"
690, "Blackwater fever"
700, "Bladder condition"
710, "Bladder stone(s)"
720, "Blindness (including light perception only)"
730, "Blood clot(s)"
740, "Boeck's disease"
750, "Bone atrophy"
760, "Bone condition"
770, "Bone fracture(s)"
780, "Bowel condition"
790, "Brain hemorrhage"
800, "Brain thrombosis"
810, "Brain tumor(s)"
820, "Breast condition, bilateral"
830, "Breast condition, left"
840, "Breast condition, right"
850, "Bronchiectasis"
860, "Bronchitis"
870, "Bruise"
880, "Buerger's disease"
890, "Bulbar palsy"
900, "Burn(s)"
910, "Bursitis"
920, "CAD (Coronary artery disease)"
930, "Caisson disease"
940, "Calculus, bladder"
950, "Calculus, gallbladder"
960, "Calculus, kidney"
970, "Cancer"
980, "Cancer, bile ducts"
990, "Cancer, bone"
1000, "Cancer, brain"
1010, "Cancer, breast"
1020, "Cancer, bronchus"
1030, "Cancer, cheek"
1040, "Cancer, colon"
1050, "Cancer, esophagus"
1060, "Cancer, gall bladder"
1070, "Cancer, gastrointestinal tract"
1080, "Cancer, gum"
1090, "Cancer, kidney"
1100, "Cancer, larynx"
1110, "Cancer, lip"
1120, "Cancer, liver"
1130, "Cancer, lung"
1140, "Cancer, lymph nodes"
1150, "Cancer, nasopharyngeal"
1160, "Cancer, ovarian"
1170, "Cancer, pancreas"
1180, "Cancer, pharyngolaryngeal"
1190, "Cancer, pharynx"
1200, "Cancer, prostate"
1210, "Cancer, rectum"
1220, "Cancer, renal pelvis"
1230, "Cancer, respiratory"
1240, "Cancer, salivary gland"
1250, "Cancer, skin"
1260, "Cancer, small intestine"
1270, "Cancer, squamous cell of the skin"
1280, "Cancer, stomach"
1290, "Cancer, testicle"
1300, "Cancer, thyroid"
1310, "Cancer, tongue"
1320, "Cancer, trachea"
1330, "Cancer, ureters"
1340, "Cancer, urethra"
1350, "Cancer, urinary bladder"
1360, "Cancer, urinary tract"
1370, "Cancer, urogenital system (except prostate)"
1380, "Carate (skin disease, pinta)"
1390, "Carcinoma"
1400, "Cardiovascular disease"
1410, "Signs or symptoms of cardiovascular disease"
1420, "Carpal tunnel syndrome"
1430, "Cartilage"
1440, "Cataract"
1450, "Cataracts, posterior subcapsular"
1460, "Catarrhal fever (common cold)"
1470, "Cavity"
1480, "Central nervous system tumors"
1490, "Cerebral accident"
1500, "Cerebral hemorrhage"
1510, "Cerebral vascular accident"
1520, "Cerebrovascular accident"
1530, "Cerebrovascular hemorrhage"
1540, "Cervical sprain"
1550, "Cervical strain"
1560, "Cervicitis"
1570, "CHF (Congestive heart failure)"
1580, "Chest pain"
1590, "Chloracne, or other acne disease consistent with chloracne"
1600, "Chloroma"
1610, "Cholangiocarcinoma"
1620, "Cholangioma"
1630, "Cholangitis"
1640, "Cholecystitis"
1650, "Cholera"
1660, "Choriocarcinoma"
1670, "Choroiditis"
1680, "Chronic fatigue syndrome"
1690, "Chronic lymphocytic leukemia"
1700, "Chronic obstructive pulmonary disease"
1710, "Chronic organic brain syndrome"
1720, "Chronic renal disease"
1730, "Cirrhosis of the liver"
1740, "Clavicle"
1750, "Clots"
1760, "Coccidiodomycosis"
1770, "Cold"
1780, "Colitis"
1790, "Irritable colon syndrome"
1800, "Combat fatigue"
1810, "Combat neurosis"
1820, "Comedocarcinoma"
1830, "Congestive heart failure"
1840, "Conjunctivitis"
1850, "Cor pulmonale"
1860, "Corneal opacities"
1870, "Coronary"
1880, "Coronary accident"
1890, "Coronary artery bypass"
1900, "Coronary artery disease"
1910, "Costochondritis"
1920, "Cushing’s syndrome"
1930, "CVA (Cerebrovascular accident)"
1940, "Cyclitis"
1950, "Cylindroma"
1960, "Cyst"
1970, "Cystitis"
1980, "Deafness, nerve"
1990, "Degenerative arthritis"
2000, "Dehydration"
2010, "Dementia"
2020, "Dental abscesses"
2030, "Depression"
2040, "Depressive neurosis"
2050, "Dermatitis"
2060, "Diabetes"
2070, "Diabetes insipidus"
2080, "Diabetes mellitus"
2090, "Diarrhea"
2100, "Digestive disorder"
2110, "Disarticulation"
2120, "Discoid lupus"
2130, "Diverticulitis"
2140, "Dizziness"
2150, "Dracontiasis"
2160, "Dracunculiasis"
2170, "Drug abuse"
2180, "Dysentery"
2190, "Dysthymic disorder"
2200, "Ear condition"
2210, "Ear infection"
2220, "Ears ringing"
2230, "Eating disorder"
2240, "Eczema"
2250, "Elbow condition, bilateral"
2260, "Elbow condition, left"
2270, "Elbow condition, right"
2280, "Elbow sprain"
2290, "Elbow strain"
2300, "Embolism"
2310,	Brain embolism
2320, "Emphysema"
2330, "Encephalitis, lethargica residuals"
2340, "Endocarditis"
2350, "Endocrinopathy"
2360, "Endometriosis"
2370, "Endothelioma"
2380, "Enucleation"
2390, "Epididymitis"
2400, "Epilepsy"
2410, "Epithelioma"
2420, "Erythematosus lupus"
2430, "Esophageal condition"
2440, "Eye condition, bilateral"
2450, "Eye condition, left"
2460, "Eye condition, right"
2470, "Eye disease"
2480, "Facial injury"
2490, "Fallen arches, bilateral"
2500, "Fallen arches, left"
2510, "Fallen arches, right"
2520,	Fatigue
2530, "Feet"
2540, "Fibromyalgia"
2560, "Fibrosis"
2570, "Fibrosis, interstitial pulmonary"
2580, "Filariasis"
2590, "Finger(s)"
2600, "Flatfoot, bilateral"
2610, "Flatfoot, left"
2620, "Flatfoot, right"
2630, "Flu"
2640, "Flu-like condition"
2650, "Foot condition, bilateral"
2660, "Foot condition, left"
2670, "Foot condition, right"
2680, "Foot pain"
2690, "Forearm condition, bilateral"
2700, "Forearm condition, left"
2710, "Forearm condition, right"
2720, "Fracture(s)"
2730, "Organic residuals of frostbite"
2740, "Frozen feet"
2750,	Fungal condition
2760, "Gallbladder condition"
2770, "Gallstone(s)"
2780, "Gangrene"
2790, "Gastritis"
2800, "Gastroenteritis"
2810, "Gastrointestinal problems"
2820, "Gastrointestinal signs or symptoms"
2830, "Generalized arteriosclerosis"
2840, "Genitourinary condition"
2850, "GERD (acid reflux)"
2860, "Gingivitis"
2870, "Glaucoma, bilateral"
2880, "Glaucoma, left"
2890, "Glaucoma, right"
2900, "Glomerulonephritis"
3000, "Gout"
3010, "Grand mal epilepsy"
3020, "Groin condition"
3030, "Gulf War Veteran with unexplained chronic multisymptom illness"
3040, "Gum disease"
3050, "Sore gums"
3060, "Gynecological condition"
3070, "Hair loss"
3080, "Hand condition, bilateral"
3090, "Hand condition, left"
3100, "Hand condition, right"
3110, "Hansen’s disease"
3120, "Head injury"
3130, "Headaches"
3140, "Hearing loss"
3150, "Sensorineural hearing loss"
3160, "Heart attack"
3170, "Heart condition"
3180, "Heart disease"
3190, "Heart failure"
3200, "Heat stroke"
3210, "Helminthiasis"
3220, "Hematuria"
3230, "Hemic-lymphatic condition"
3240, "Hemorrhage"
3250, "Hemorrhagic purpura idiopathic"
3260, "Hemorrhoids"
3270, "Hepatitis"
3280, "Hepatocarcinoma"
3290, "Hepatoma"
3300, "Hernia condition"
3310, "Femoral hernia"
3320, "Hiatal hernia"
3330, "Inguinal hernia"
3360, "Herpes"
3370, "High blood pressure"
3380, "Hip condition, bilateral"
3390, "Hip condition, left"
3400, "Hip condition, right"
3410, "HIV"
3420, "Hodgkin’s disease"
3430, "Human immunodeficiency virus"
3440, "Hypercholesterolemia"
3450, "Hyperlipidemia"
3460, "Hypertension"
3470, "Hyperthyroidism"
3480, "Hypothyroidism"
3490, "Hypovitaminosis"
3500, "Hysterectomy"
3510, "Immune disorder"
3520, "Infarction"
3530, "Infection(s)"
3540, "Intestinal condition"
3550, "Involutional changes"
3560, "Iritis"
3570, "Irritable bowel syndrome"
3580, "Irritable colon"
3590, "Jaw condition"
3600, "Joint disease"
3610, "Joint pains"
3620, "Kala-azar (black fever)"
3630, "Keratitis"
3640, "Kidney disease"
3650, "Kidney failure"
3660, "Kidney stone(s)"
3670, "Kidney transplant"
3680, "Removal of kidney"
3690, "Knee condition, bilateral"
3700, "Knee condition, left"
3710, "Knee condition, right"
3720, "Knee sprain"
3730, "Knee strain"
3740, "Labyrinthitis"
3750, "Laryngectomy"
3760, "Laryngitis"
3770, "Larynx condition"
3780, "Leg condition, bilateral"
3790, "Leg condition, left"
3800, "Leg condition, right"
3810, "Leishmaniasis"
3820, "Leprosy"
3830, "Leukemia"
3840, "Leukosarcoma"
3850, "Liver condition"
3860, "Loiasis"
3870, "Loose teeth"
3880, "Loss of use"
3890, "Lou Gehrig's disease"
3900, "Low back condition"
3910, "Low back sprain"
3920, "Low back strain"
3930, "Lumbar sprain"
3940, "Lumbar strain"
3950, "Lung condition"
3960, "Lupus"
3970, "Lupus, discoid"
3980, "Lupus, erythematosus"
3990, "Systemic lupus"
4000, "Lyme disease"
4010, "Lymphogranulomatosis"
4020, "Lymphoma (except Hodgkin's disease)"
