CNTNTN_CLSFCN_ID,CNTNTN_CLSFCN_TXT, LAYMAN_DEF
10,abnormal heart,
20,abnormal mitral valve, abnormal mitral valve in heart
30,abnormal weight loss,
40,"abscess, brain", bacterial or fungal infection in a part of the brain
50,"abscess, kidney", bacterial or fungal infection in a part of the kidney
60,"abscess, liver",bacterial or fungal infection in a part of the liver
70,acne,
80,acromegaly,hormonal disorder causing excess growth hormone
90,acute nonlymphocytic leukemia,
110,adenocarcinoma,
120,adenomyoepithelioma,
130,adhesions, tough scar tissue
140,aging,
150,agoraphobia, afraid or in fear of crowded or public spaces
160,AIDS, 
170,alcohol abuse,
180,allergies,
190,ALS,
200,alveolar abscesses,dental or tooth infection
210,amebiasis,parasitic infection of the colon
220,amputation,
230,amputation - above knee,
240,"amputation - arm, forearm, hand",
250,amputation - below knee,
260,amputation - foot (feet),
270,amputation - leg(s),
280,amputation - multiple fingers,
290,amputation - single finger,
300,amputation - toe (toes),
310,amyotrophic lateral sclerosis, ALS
320,anatomical loss, loss of a body part
330,"anemia, primary",
340,aneurysm,
350,angina, chest pain
360,"ankle condition, bilateral (both ankles)", ankle condition in both ankles
370,"ankle condition, left",
380,"ankle condition, right",
390,ankle sprain,
400,ankle strain,
410,anxiety condition,
420,"arm condition, bilateral (both arms)", arm condition in both arms
430,"arm condition, left",
440,"arm condition, right",
450,arrhythmia, irregular heartbeat
460,arteriosclerosis, hardening or thickening of arteries
470,arteriosclerosis obliterans, blocked artery(ies)
480,arteriosclerotic heart disease,hardening or thickening of arteries in heart
490,arthritis,
500,"arthritis, degenerative",
510,"arthritis, due to trauma",
520,asbestosis (asbestos disease),
540,asthma,
550,atherosclerosis, fat or cholesterol buildup in arteries
560,atherosclerotic peripheral vascular disease,
570,athlete's foot,
580,"atrophy, progressive muscular",
590,avitaminosis,vitamin deficiency
600,back condition,
610,back injury,
620,back sprain,
630,back strain,
640,basaloma,skin tumor
650,Bell's palsy,
660,beriberi (including beriberi heart disease), thiamine deficiency
670,bipolar disorder,
680,birth defect in child, 
690,blackwater fever,
700,bladder condition,
710,bladder stone(s),
720,blindness (including light perception only),
730,blood clot(s),
740,Boeck's disease,
750,bone atrophy,weakening of bones
760,bone condition,
770,bone fracture(s),
780,bowel condition,
790,brain hemorrhage,
800,brain thrombosis,clot in brain's blood vessel
810,brain tumor(s),
820,"breast condition, bilateral (both)", breast condition in both breasts
830,"breast condition, left",
840,"breast condition, right",
850,bronchiectasis,damaged airway from inflammation or infection
860,bronchitis,
870,bruise,
880,Buerger's disease,
890,bulbar palsy,
900,burn(s),
910,bursitis, inflammation near the joints
920,CAD, coronary artery disease
930,Caisson disease, decompression sickness
940,calculus - bladder, bladder stones
950,calculus - gallbladder, gallbladder stones
960,calculus - kidney, kidney stones
970,cancer, 
980,cancer - bile ducts,
990,cancer - bone,
1000,cancer - brain,
1010,cancer - breast,
1020,cancer - bronchus,
1030,cancer - cheek,
1040,cancer - colon,
1050,cancer - esophagus,
1060,cancer - gall bladder,
1070,cancer - gastrointestinal tract,
1080,cancer - gum,
1090,cancer - kidney,
1100,cancer - larynx,
1110,cancer - lip,
1120,cancer - liver,
1130,cancer - lung,
1140,cancer - lymph nodes,
1150,cancer - nasopharyngeal,
1160,cancer - ovarian,
1170,cancer - pancreas,
1180,cancer - pharyngolaryngeal,
1190,cancer - pharynx,
1200,cancer - prostate,
1210,cancer - rectum,
1220,cancer - renal pelves,
1230,Cancer - respiratory,
1240,cancer - salivary gland,
1250,Cancer - skin,
1260,cancer - small intestine,
1270,"cancer - squamous cell, of the skin",
1280,cancer - stomach,
1290,cancer - testicle,
1300,cancer - thyroid,
1310,cancer - tongue,
1320,cancer - trachea,
1330,cancer - ureters,
1340,cancer - urethra,
1350,cancer - urinary bladder,
1360,cancer - urinary tract,
1370,cancer - urogenital system (except prostate),
1380,carate (also known as pinta), skin disease
1390,carcinoma,
1400,cardiovascular disease,
1410,cardiovascular signs or symptoms,
1420,carpal tunnel syndrome,
1440,cataract,
1450,"cataracts, posterior subcapsular",
1460,catarrhal fever (common cold),
1470,cavity,
1480,central nervous system tumors,
1490,cerebral accident,
1500,cerebral hemorrhage,
1510,cerebral vascular accident, stroke
1520,cerebrovascular accident, stroke
1530,cerebrovascular hemorrhage,stroke from ruptured blood vessel in brain
1540,cervical sprain, neck sprain
1550,cervical strain, neck strain
1560,cervicitis, inflammation of cervix
1570,CHF,congestive heart failure
1580,chest pain,
1590,Chloracne or other acneform disease consistent with chloracne, skin condition 
1600,chloroma,acute leukemia
1610,cholangiocarcinoma,bile duct cancer
1620,cholangioma, bile duct tumor
1630,cholangitis,bacterial infection of bile duct
1640,cholecystitis,inflammation of gallbladder
1650,cholera,diarrhea illness
1660,choriocarcinoma,uterine cancer
1670,choroiditis,inflammation of parts of the eye
1680,chronic fatigue syndrome,
1690,chronic lymphocytic leukemia,
1700,chronic obstructive pulmonary disease,
1710,chronic organic brain syndrome,
1720,chronic renal or kidney disease,
1730,cirrhosis of liver,
1750,clots,
1760,coccidiodomycosis, infection from soil fungus 
1770,cold,
1780,colitis, inflammation of inner colon lining
1790,"colon syndrome, irritable", irritable bowel syndrome
1800,combat fatigue,
1810,combat neurosis,anxiety from traumatic events
1820,comedocarcinoma,early-stage breast cancer
1830,congestive heart failure,
1840,conjunctivitis,pinkeye
1850,cor pulmonale,pulmonary heart disease
1860,corneal opacities, eye disorder from cornea scars
1870,coronary,
1880,coronary accident,
1890,coronary artery bypass,
1900,coronary artery disease,
1910,costochondritis,inflammation of cartilage between rib and breastbone
1920,Cushing's syndrome, hormonal disorder
1930,CVA,stroke 
1940,cyclitis,inflammation in middle part of eye
1950,cylindroma,benign skin tumors in head or neck
1960,cyst,
1970,cystitis, bladder infection  
1990,degenerative arthritis,
2000,dehydration,
2010,dementia,
2020,dental abscesses,
2030,depression,
2040,depressive neurosis,depression with unstable emotions
2050,dermatitis,skin inflammation
2060,diabetes,
2070,diabetes insipidus,
2080,diabetes mellitus,
2090,diarrhea,
2100,digestive disorder,
2110,disarticulation,separation of bones at the joint
2120,discoid lupus,autoimmune disease affecting the skin
2130,diverticulitis,inflammation or infection of pouches in colon
2140,dizziness,
2150,dracontiasis,infection by the Guinea worm
2160,dracunculiasis,infection by the Guinea worm (combine with above 'dracontiasi or dracunculiasis)
2170,drug abuse,
2180,dysentery,inflammatory intestine disease
2190,dysthymic disorder,chronic depression
2200,ear condition,
2210,ear infection,
2220,ears ringing,
2230,eating disorder,
2240,eczema,
2250,"elbow condition, bilateral(both elbows)", elbow condition in both elbows
2260,"elbow condition, left",
2270,"elbow condition, right",
2280,elbow sprain,
2290,elbow strain,
2300,embolism, blocking of an artery
2310,"embolism, brain",
2320,emphysema, lung condition
2330,"encephalitis, lethargica residuals", form of brain inflammation
2340,endocarditis,infection of endocardium in heart
2350,endocrinopathy,disease of the endocrine gland
2360,endometriosis,uterine lining tissue grows outside the uterus
2370,endothelioma, 
2380,enucleation, removal or loss of the eye
2390,epididymitis,inflammation at back of testicles
2400,epilepsy,
2410,epithelioma,
2420,erythematosus lupus,
2430,esophageal condition,
2440,"eye condition, bilateral (both eyes)", eye condition in both eyes
2450,"eye condition, left",
2460,"eye condition, right",
2470,eye disease,
2480,facial injury,
2490,"fallen arches, bilateral (both arches)", fallen arches in both feet
2500,"fallen arches, left",
2510,"fallen arches, right",
2520,fatigue,
2540,fibromyalgia, pain disorder that causes muscle pain and tenderness in whole body
2560,fibrosis,scarring of connective tissue
2570,"fibrosis, interstitial pulmonary",
2580,filariasis,parasitic disease from roundworm
2600,"flatfoot, bilateral (both feet)", flat feet in both feet
2610,"flatfoot, left",
2620,"flatfoot, right",
2630,flu,
2640,flu-like conditions,
2650,"foot condition, bilateral (both feet)", foot condition in both feet
2660,"foot condition, left",
2670,"foot condition, right",
2680,foot pain,
2690,"forearm condition, bilateral (both forearms)", forearm condition in both forearms
2700,"forearm condition, left",
2710,"forearm condition, right",
2720,fracture(s),
2730,"frostbite, organic residuals of",
2740,frozen feet,
2750,fungal condition,
2760,gall bladder condition,
2770,gallstone(s),
2780,gangrene, dead tissue caused by an infection
2790,gastritis, stomach inflammation
2800,gastroenteritis,irritation or inflammation of stomach and intestines
2810,gastrointestinal problems,
2820,gastrointestinal signs or symptoms,
2830,generalized arteriosclerosis,hardening of artery walls
2840,genitourinary condition,
2850,GERD,Gastroesophageal reflux disease
2860,gingivitis,gum disease
2870,"glaucoma, bilateral (both eyes)", damage to optic nerve in both eyes
2880,"glaucoma, left",damage to optic nerve in left eye
2890,"glaucoma, right",damage to optic nerve in right eye
2900,glomerulonephritis, a type of kidney inflammation
3000,gout, a form of inflammatory arthritis
3010,grand mal epilepsy,
3020,groin condition,
3030,Gulf War Veteran with unexplained chronic multisymptom illness,
3050,"gums, sore", sore gums
3060,gynecological condition,
3070,hair loss,
3080,"hand condition, bilateral (both hands)", hand condition in both hands
3090,"hand condition, left", 
3100,"hand condition, right",
3110,Hansen's disease,
3120,head injury,
3130,headaches,
3140,hearing loss,
3150,"hearing loss, sensorineural", 
3160,heart attack,
3170,heart condition,
3180,heart disease,
3190,heart failure,
3200,heat stroke,
3210,helminthiasis,parasitic worm infection
3220,hematuria,blood in urine
3230,hemic-lymphatic condition,blood and lymph condition
3240,hemorrhage,ruptured blood vessel
3250,hemorrhagic purpura idiopathic,excessive bruising or bleeeding
3260,hemorrhoids,
3270,hepatitis,
3280,hepatocarcinoma,
3290,hepatoma,
3300,hernia condition,
3310,"hernia, femoral",
3320,"hernia, hiatal", stomach hernia
3330,"hernia, inguinal", groin hernia
3360,herpes,
3370,high blood pressure,
3380,"hip condition, bilateral (both hips)", hip condition in both hips
3390,"hip condition, left", hip condition in left hip
3400,"hip condition, right", hip condition in right hip
3410,HIV, 
3420,Hodgkin's disease,
3430,human immunodeficiency virus,
3440,hypercholesterolemia,high cholesterol levels in blood
3450,hyperlipidemia,high levels of fats in blood
3460,hypertension,high blood pressure
3470,hyperthyroidism,overactive thyroid
3480,hypothyroidism,underactive thyroid
3490,hypovitaminosis,vitamin deficiency
3500,hysterectomy,removal of uterus
3510,immune disorder,
3520,infarction,death of tissue from loss of blood supply
3530,infection(s),
3540,intestinal condition,
3550,involutional changes,age-related changes
3560,iritis,inflammation of iris in eye
3570,irritable bowel syndrome,
3580,irritable colon,
3590,jaw condition,
3600,joint disease,
3610,joint pains,
3620,kala azar,black fever 
3630,keratitis,inflammation of cornea in eye
3640,kidney disease,
3650,kidney failure,
3660,kidney stone(s),
3670,kidney transplant,
3680,"kidney, removal of",
3690,"knee condition, bilateral (both knees)", knee condition in both knees
3700,"knee condition, left", knee condition in left knee
3710,"knee condition, right", knee condition in right knee
3720,knee sprain,
3730,knee strain,
3740,labyrinthitis,inner ear disorder
3750,laryngectomy,removal of larynx or voice box
3760,laryngitis,inflammation of larynx or voice box
3770,larynx condition,voice box condition
3780,"leg condition, bilateral (both legs)", leg condition in both legs
3790,"leg condition, left", leg condition in left leg
3800,"leg condition, right", leg condition in right leg
3810,leishmaniasis, parasitic disease from a sandfly
3820,leprosy,bacterial infection of skin
3830,leukemia,
3840,leukosarcoma,
3850,liver condition,
3860,loiasis,parasitic infection from an African eyeworm
3870,loose teeth,
3890,Lou Gehrig's disease,
3900,lower back condition,
3910,lower back sprain,
3920,lower back strain,
3930,lumbar sprain,
3940,lumbar strain,
3950,lung condition,
3960,lupus,
3970,"lupus, discoid",autoimmune disease affecting skin
3980,"lupus, erythematosus",systemic lupus 
3990,"lupus, systemic",
4000,Lyme disease,
4010,lymphogranulomatosis,Hodgkin's lymphoma
4020,Lymphoma - except Hodgkin's disease,
4030,lymphomas,
4040,lymphosarcoma,
4050,major depression,
4060,malaria,
4080,malignant leiomyblastoma,
4090,malignant neoplasm,
4100,malignant tumor(s),
4110,malnutrition,
4120,manic-depressive reaction,
4130,mastoiditis,bacterial infection of inner and middle ear
4140,melanocarcinoma,
4150,melanoepithelioma,
4160,melanoma, type of skin cancer
4170,"melanoma, malignant",
4180,melanosarcoma,
4190,melanoscirrhus,
4200,memory loss,
4210,Meniere's disease, inner ear disorder causing vertigo and ringing in ears
4220,menstrual disorders,
4230,mental disease,
4240,mental disorder,
4250,mesenchymoma,
4260,mesonephroma,
