"As a Veteran, I need to...",Complexity,Design Notes,Tech Notes,Business Process Notes,User Value,MVP Scope?
have information to decide what action I want to take regarding my disability compensation (file increase/add secondary/file new claim/file appeal/etc).,Tbd,Need to understand what info ppl need access in order to answer the questions that will help us guide them to the right flow,"Claims status (www.vets.gov/track-claims/your-claims) already displays in-progress and closed claims.
For closed claims, the claims detail page shows 1) claim type (e.g., compensation), 2) What you've claimed (e.g., chest pain, abnormal mitral valve), 3) Date received (?), 4) Representative/VSO if any
Note: your rating is not currently exposed in vets.gov claims status (and likely not available from the EVSS claims service), so there is EVSS and vets-api work needed to fetch the ratings (this currently falls into the PICU efforts). We should tee up this work with CSRA as soon as possible (not currently on their roadmap for 2017)

Open question: need comprehensive understanding of EVSS services backing vets.gov claims status (swagger files or other product documentation) 

Open question: Are denied claims shown in claims listing?",,High,"Yes, but the actual solution is dependent upon usability testing"
"indicate whether I'm homeless or at risk of being homeless (or other flash) , so that I can be guided down the correct urgent path if so.",,"Need to understand what all the flashes are, and document what should happen when we encounter each",Ask CSRA team for information about the backend service that currently consumes this information from eBenefits. Is it rolled up into the 526 submission or separately sent so that the flash will be applied?,,High,
"indicate whether I have or may have PTSD, so that I can be guided down the correct urgent path if so.",,,Same as above for homelessness,,High,
"submit an Intent to File date when I start a claim for increase, so I can be back-paid to that date once my claim is processed.",,,EVSS ITF endpoint is developed and ready for testing in PINT. Swagger docs should be up as well:  https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Products/Disability/Disability%20526EZ/engineering/itf/itf-swagger.md,,High,
"be guided to the right claim type to submit, so I can get the best possible result from VA",,,No technical discovery needed,,High,
"view the basic information that's prepopulated into my claim for increase for me, so I can verify it's correct or update it if necessary before I submit my application.",,,"TODO: discussion with Ryan Baker (Rainbows/prefill) and appeals engineering team (BGS gurus) to discuss 2 options here:
1) Fetch all prefillable data directly from endpoints like PCIU, eMIS, BGS
or
2) Have EVSS build a 526 ""load"" service (probably based on the eBenefits ""load application"" functionality), to pull any information they currently pull to fill a new 526.
If EVSS does a significant amount of orchestration across multiple backend services, we may want to take advantage of it. If they are just passing through data with very little massaging, we may want vets-api to call these backend services directly.",,High,
"edit and permanently update the basic information that's prepopulated into my claim for increase for me, so I can correct it if it's wrong.",,"This is different from save-in-progress, it writes back to the VA database, whereas other parts of my claim that I might be filling out wont' be sent to VA until I submit.","Depending on which fields are editable, may need to build out more PCIU services in order to make updates to basic Veteran profile information. Each such service takes a significant amount of resources, so we need to enumerate which data should be updatable as soon as possible so if its to make it into either this fall's CSRA roadmap.","Find out if this is a business requirement. If user impact is not high, would recommend not including this in MVP, as it could add significant complexity (reference point: adding address update to VA Letters). Alternative is to point people to eBenefits profile page, if these fields are all editable there.",Medium,Yes bc need it for parity
"be able to start a claim for increase for a previously rated claim, so I can attempt to get a higher evaluation for the selected condition.",,,"The draft claim will be stored by vets-api using the same pattern that save-in-progress currently uses. One difference is that documents may also be attached to the draft (discussed in separate story). 
TODO: discuss with Rainbows team whether there is any complexity to expanding save-in-progress to handle 526 data.",,High,Yes
understand what documents I should attach to my claim for increase as evidence to get the best possible result from VA.,,"Helpers have their own algorithms to advise on this, not sure if it can be distilled into general advice","Assuming this is not something we would automate, so no technical discovery needed.",,High,Unsure if it's possible
"have the option to upload documents that support my claim for increase, so VA can see them when they assess my claim.",,,"Note that this is different from uploading documents to a ""staging"" or ""in-flight storage"" area, where VA staff are not authorized to view them. This story is about uploading documents to my VBMS eFolder at the same moment that the 526 form is submitted.

Currently, documents may be uploaded from the vets.gov claim detail page of the claims status tool (user chooses the ""Files"" tab, and if the claim is still in the evidence-gathering stage, is given the option of uploading a new file for either 1)  a specific purpose (e.g. proof of radiation exposure, service information from a reserve guard or unit, or  2) a generic ""additional evidence"" category

Open question: team should do a thorough product walkthrough of claims status / document upload and discuss how document upload during a claims increase will play nicely with that product.

See the other story about a temporary staging area for other technical notes. For VBMS efolder upload, the vets-api endpoint exists, so minimal work, except that either vets-website or vets-api will have to trigger taking all of the files in the staging area and uploading them to the VBMS eFolder.",,High,
