Submitted Vets.gov Applications - Report FYTD 2017 as of 2017-09-30
"","",DOCUMENT TYPE
RPO,BENEFIT TYPE,22-1990,"","",22-1995,"","",22-1990e,"","",22-5490,"","",22-5495,"","",22-1990n,"",""
"","",2016-10-01..2017-09-30 23:59:59 UTC,"",2017-09-30 00:00:00 UTC..2017-09-30 23:59:59 UTC,2016-10-01..2017-09-30 23:59:59 UTC,"",2017-09-30 00:00:00 UTC..2017-09-30 23:59:59 UTC,2016-10-01..2017-09-30 23:59:59 UTC,"",2017-09-30 00:00:00 UTC..2017-09-30 23:59:59 UTC,2016-10-01..2017-09-30 23:59:59 UTC,"",2017-09-30 00:00:00 UTC..2017-09-30 23:59:59 UTC,2016-10-01..2017-09-30 23:59:59 UTC,"",2017-09-30 00:00:00 UTC..2017-09-30 23:59:59 UTC,2016-10-01..2017-09-30 23:59:59 UTC,"",2017-09-30 00:00:00 UTC..2017-09-30 23:59:59 UTC
"","","",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File
BUFFALO (307),chapter33,49580,48,48,24463,33,33,8083,2,2,323,1,1,78,0,0,"","",""
"",chapter1607,0,0,0,74,1,1,0,0,0,0,0,0,0,0,0,"","",""
"",chapter1606,6819,11,11,1000,3,3,0,0,0,0,0,0,0,0,0,"","",""
"",chapter32,795,2,2,36,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter35,0,0,0,0,0,0,0,0,0,5597,10,10,1819,1,1,"","",""
"",transfer of entitlement,0,0,0,270,1,1,0,0,0,0,0,0,0,0,0,"","",""
"",chapter30,7333,8,8,1471,3,3,239,0,0,0,0,0,0,0,0,147,2,2
"",TOTAL,64527,69,69,27314,41,41,8322,2,2,5920,11,11,1897,1,1,147,2,2
ATLANTA (316),chapter33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter1606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",transfer of entitlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",TOTAL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. LOUIS (331),chapter33,47530,57,57,23168,31,31,6899,7,7,309,0,0,104,0,0,"","",""
"",chapter1607,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter1606,9732,15,15,1529,4,4,0,0,0,0,0,0,0,0,0,"","",""
"",chapter32,780,0,0,35,1,1,0,0,0,0,0,0,0,0,0,"","",""
"",chapter35,0,0,0,0,0,0,0,0,0,4625,7,7,1957,2,2,"","",""
"",transfer of entitlement,0,0,0,252,1,1,0,0,0,0,0,0,0,0,0,"","",""
"",chapter30,8315,10,10,1937,4,4,219,0,0,0,0,0,0,0,0,173,0,0
"",TOTAL,66357,82,82,27057,41,41,7118,7,7,4934,7,7,2061,2,2,173,0,0
MUSKOGEE (351),chapter33,111012,96,96,52089,70,70,16669,23,23,858,1,1,232,0,0,"","",""
"",chapter1607,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter1606,13884,20,20,2099,6,6,0,0,0,0,0,0,0,0,0,"","",""
"",chapter32,1935,4,4,80,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter35,0,0,0,0,0,0,0,0,0,14171,26,26,5221,7,7,"","",""
"",transfer of entitlement,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,"","",""
"",chapter30,18113,27,27,3669,5,5,735,0,0,0,0,0,0,0,0,335,0,0
"",TOTAL,144944,147,147,58717,81,81,17404,23,23,15029,27,27,5453,7,7,335,0,0
ALL RPOS TOTAL,"",275841,298,298,113088,163,163,32844,32,32,25883,45,45,9411,10,10,655,2,2
"","",22-1990,"","",22-1995,"","",22-1990e,"","",22-5490,"","",22-5495,"","",22-1990n,"",""

