Vets-webservice Name,GIDS Database Column Name,Imported CSV Origin,Joined to institution by,Notes,,
,caution_flag,"(1) accreditation_action CSV column action_description and accreditation_action CSV column justification_description
(2) mou
(3) n/a
(4) settlement CSV column settlement_description
(5) hcms CSV column hcm_reason","(1) accreditation_institute_campus CSV column opeid
(2) mou CSV column 'ope id'
(3) n/a
(4) settlement CSV column unitid to weam CSV column ipeds
(5) hcms CSV column 'ope id'","For each of these creates a caution_flags row linked to institutions by a foreign_key
(1) Set value by joining on accreditation_institute_campus CSV column opeid.
    Set value if institution has received a probationary action and has not receieved a restorative action after the probrationary action.
    We include only those accreditation that are institutional and currently active.
(2) Value is ""DoD Probation For Military Tuition Assistance""
(3) If sec702 CSV columen sec702 is false then ""Does Not Offer Required In-State Tuition Rates""
(4) Value is ""<list of relevant descriptions from settlement CSV>""
(5) Value is ""Heightened Cash Monitoring (<relevant hcms CSV column hcm_resason>)""",,
,books,"(1) ipeds_ic_ay
(2) ipeds_ic_py","(1) ipeds_ay CSV column unitid to weam CSV column ipeds
(2) ipeds_ic_py CSV column unitid to weam CSV column ipeds","(1) Set value to ipeds_ic_ay CSV column chg4ay3
(2) If no value from step 1 set value to ipeds_ic_py CSV column chg4py3",,
,tuition_in_state,"(1) ipeds_ic_ay
(2) ipeds_ic_py","(1) ipeds_ay CSV column unitid to weam CSV column ipeds
(2) ipeds_ic_py CSV column unitid to weam CSV column ipeds","(1) Set value to ipeds_ic_ay CSV column chg2ay3
(2) If no value from step 1 set value to ipeds_ic_py CSV column chg1py3",,
,tuition_out_of_state,"(1) ipeds_ic_ay
(2) ipeds_ic_py","(1) ipeds_ay CSV column unitid to weam CSV column ipeds
(2) ipeds_ic_py CSV column unitid to weam CSV column ipeds","(1) Set value to ipeds_ic_ay CSV column chg3ay3
(2) If no value from step 1 set value to ipeds_ic_py CSV column chg1py3",,
,accreditation_status,accreditation_action CSV column action_description,accreditation_institute_campus CSV column opeid,"Set value by joining on accreditation_institute_campus CSV column opeid.
Set value if institution has received a probationary action and has not receieved a restorative action after the probrationary action.
We include only those accreditation that are institutional and currently active.",,
,accreditation_type,accreditation_record,accreditation_institute_campus CSV column opeid,"Set value by joining on accreditation_institute_campus CSV column opeid.
Set value if institution has received a probationary action and has not receieved a restorative action after the probrationary action.
We include only those accreditation that are institutional and currently active.",,
student_count,gibill,arf_gi_bill,arf_gi_bill CSV column 'facility no.',,,
complaints object (remove complaints_ to find),complaints_accreditation_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""accreditation""",,
complaints object (remove complaints_ to find),complaints_accreditation_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""accreditation""",,
complaints object (remove complaints_ to find),complaints_credit_transfer_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""transfer""",,
complaints object (remove complaints_ to find),complaints_credit_transfer_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""transfer""",,
complaints object (remove complaints_ to find),complaints_degree_requirements_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""degree""",,
complaints object (remove complaints_ to find),complaints_degree_requirements_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""degree""",,
complaints object (remove complaints_ to find),complaints_facility_code,complaint,complaint CSV column 'facility code',Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains any words,,
complaints object (remove complaints_ to find),complaints_financial_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""financial""",,
complaints object (remove complaints_ to find),complaints_financial_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""financial""",,
complaints object (remove complaints_ to find),complaints_grades_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""grade""",,
complaints object (remove complaints_ to find),complaints_grades_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""grade""",,
complaints object (remove complaints_ to find),complaints_job_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""job""",,
complaints object (remove complaints_ to find),complaints_jobs_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""job""",,
complaints object (remove complaints_ to find),complaints_main_campus_roll_up,complaint,complaint CSV column opeid,Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains any words,,
complaints object (remove complaints_ to find),complaints_marketing_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""recruit""",,
complaints object (remove complaints_ to find),complaints_marketing_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""recruit""",,
complaints object (remove complaints_ to find),complaints_other_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""other""",,
complaints object (remove complaints_ to find),complaints_other_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""other""",,
complaints object (remove complaints_ to find),complaints_quality_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""quality""",,
complaints object (remove complaints_ to find),complaints_quality_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""quality""",,
complaints object (remove complaints_ to find),complaints_refund_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""refund""",,
complaints object (remove complaints_ to find),complaints_refund_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""refund""",,
complaints object (remove complaints_ to find),complaints_student_loans_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""loans""",,
complaints object (remove complaints_ to find),complaints_student_loans_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""loans""",,
complaints object (remove complaints_ to find),complaints_transcript_by_fac_code,complaint,complaint CSV column 'facility code',"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""transfer""",,
complaints object (remove complaints_ to find),complaints_transcript_by_ope_id_do_not_sum,complaint,complaint CSV column opeid,"Value is equal to the number of rows in complaint CSV that have the institution's facility_code and that its issues column contains the word  ""transfer""",,
links object as scorecard,cross,crosswalk,crosswalk CSV column 'facility code',,,
,ope,crosswalk,crosswalk CSV column 'facility code',,,
,ope6,crosswalk,crosswalk CSV column 'facility code',,,
school_system_code,f1syscod,ipeds_hd,ipeds_hd CSV column unitid to weam CSV column ipeds,,,
school_system_name,f1sysnam,ipeds_hd,ipeds_hd CSV column unitid to weam CSV column ipeds,,,
