UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT,DISTNCED,DSTNCED1,DSTNCED2,DSTNCED3,VET1,VET2,VET3,VET4,VET5,VET9    
100654,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,0,0,2,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,1,R,30,R,45,1,1,1,1,1,1,-2,-2,1,1,R,2216,1,R,21,R,4200,R,3040,A,.,2,1,0,0,1,0,1,A,.,2,1,1,0,1,1,1,1,1,0
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,1,R,30,R,45,1,1,1,1,1,1,1,1,1,1,R,2392,2,A,.,R,6022,R,4090,A,.,2,1,0,0,1,0,1,A,.,2,1,1,0,1,1,1,1,0,0
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,50,R,50,1,1,1,1,1,1,1,2,2,2,A,.,3,A,.,A,.,A,.,A,.,2,1,1,0,0,0,1,A,.,1,1,1,0,1,0,1,0,0,0
100706,0,1,0,1,1,0,1,2,0,-2,1,0,0,0,1,1,1,1,0,1,1,0,2,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,1,R,30,R,50,1,1,1,1,1,1,1,2,1,1,R,1680,2,A,.,R,5753,R,2680,A,.,2,1,0,0,1,0,1,A,.,2,1,1,0,1,0,1,1,0,0
100724,1,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,1,R,25,R,25,1,1,1,1,1,1,1,2,1,1,R,2447,1,R,19,R,3346,R,2076,A,.,2,1,0,0,1,0,1,A,.,2,1,1,0,0,1,1,1,0,0
100733,1,1,1,1,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,-2,A,.,A,.,A,.,A,.,-2,-2,-2,-2,-2,-2,-2,A,.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,0,1,1,0,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,1,R,40,R,50,1,1,1,1,1,1,1,1,1,1,R,8400,2,A,.,R,5600,R,3266,A,.,2,1,0,0,1,0,2,R,5,2,1,1,0,1,1,1,1,1,0
100760,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,2,2,0,0,0,0,1,A,.,2,1,0,0,0,1,1,0,1,0
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,30,A,.,1,2,2,1,2,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,-2,1,0,1,1,0,1,A,.,2,1,0,0,1,1,1,0,1,0
100830,0,1,1,0,0,0,1,2,0,-2,1,0,0,0,1,1,1,1,0,1,0,0,2,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,334,1,334,1,334,1,R,0,R,25,1,1,1,1,1,1,-2,-2,1,1,R,997,2,A,.,R,4190,R,1200,A,.,2,1,0,0,1,0,1,A,.,2,1,1,0,1,1,1,0,1,0
100858,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,1,1,2,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,1,R,50,R,60,1,1,1,1,1,1,1,1,1,1,R,4702,2,A,.,R,6892,R,5286,A,.,2,1,0,0,1,0,2,R,5,2,1,1,0,1,1,1,1,0,0
100937,0,1,0,0,0,0,4,-2,-2,71,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,-2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,368,1,368,1,368,1,368,4,R,50,A,.,1,1,2,1,2,2,-2,-2,2,1,R,1597,1,R,21,R,7850,R,4680,A,.,2,1,0,0,1,0,1,A,.,2,0,0,1,1,0,0,0,0,0
101028,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,2,2,0,0,0,0,1,A,.,2,1,0,0,0,1,0,0,1,0
101073,0,1,0,0,0,0,4,-2,-2,68,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,-2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,2,-2,2,-2,2,-2,2,-2,1,R,25,A,.,1,1,2,1,1,2,-2,-2,2,1,R,350,1,R,19,R,2300,R,3300,A,.,2,1,0,0,1,0,1,A,.,2,1,0,0,0,0,0,0,0,1
101116,0,1,0,0,0,0,2,-2,-2,-2,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,2,R,50,R,50,1,1,1,1,1,1,1,2,2,2,A,.,3,A,.,A,.,A,.,A,.,2,1,0,0,1,0,1,A,.,2,1,1,0,1,1,1,1,1,0
101143,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,2,1,0,1,0,0,1,A,.,2,1,0,0,0,1,1,0,1,0
