UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3 
100654,R,7500,R,1596,R,250,R,7500,R,1596,R,250,R,15000,R,1596,R,500,R,6840,R,1596,R,380,R,6840,R,1596,R,380,R,13680,R,1596,R,760,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,5328,R,1500,R,6828,R,5592,R,1590,R,7182,R,5592,R,1590,R,7182,R,7500,R,1596,R,9096,.,.,R,5328,R,1500,R,6828,R,5592,R,1590,R,7182,R,5592,R,1590,R,7182,R,7500,R,1596,R,9096,.,.,R,10656,R,1500,R,12156,R,11184,R,1590,R,12774,R,11184,R,1590,R,12774,R,15000,R,1596,R,16596,.,.,R,1800,R,1800,R,1800,R,1800,R,6980,R,7346,R,10119,R,7240,R,2080,R,2748,R,2748,R,2748,R,5530,R,7346,R,10119,R,10119,R,2080,R,2748,R,2748,R,2748,R,1300,R,1300,R,1300,R,1300
100663,R,7510,R,0,R,295,R,7510,R,0,R,295,R,17062,R,0,R,693,R,7090,R,0,R,370,R,7090,R,0,R,370,R,16072,R,0,R,869,Y,.,Y,.,Y,.,Y,.,R,24672,Z,0,R,56950,Z,0,R,25490,Z,0,R,60934,Z,0,R,25101,Z,0,R,53478,Z,0,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,6264,R,0,R,6264,R,6798,R,0,R,6798,R,7205,R,0,R,7205,R,7510,R,0,R,7510,.,.,R,6264,R,0,R,6264,R,6798,R,0,R,6798,R,7205,R,0,R,7205,R,7510,R,0,R,7510,.,.,R,14256,R,0,R,14256,R,15462,R,0,R,15462,R,16398,R,0,R,16398,R,17062,R,0,R,17062,.,.,R,1000,R,1000,R,1000,R,1200,R,9714,R,9714,R,9914,R,10809,R,4175,R,4175,R,4375,R,4886,R,9714,R,9714,R,9914,R,10809,R,4175,R,4175,R,4375,R,4886,R,4175,R,4175,R,4375,R,4886
100690,R,6000,R,900,R,325,R,6000,R,900,R,325,R,6000,R,900,R,325,R,12600,R,1300,R,700,R,12600,R,1300,R,700,R,12600,R,1300,R,700,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,7920,R,800,R,8720,R,6000,R,800,R,6800,R,6000,R,870,R,6870,R,6000,R,900,R,6900,0,3,R,7920,R,800,R,8720,R,6000,R,800,R,6800,R,6000,R,870,R,6870,R,6000,R,900,R,6900,0,3,R,7920,R,800,R,8720,R,6000,R,800,R,6800,R,6000,R,870,R,6870,R,6000,R,900,R,6900,0,3,R,1200,R,1500,R,1500,R,1500,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9600,R,9600,R,9600,R,9600,R,1500,R,1600,R,1600,R,1600,R,1500,R,1600,R,1600,R,1600
100706,R,9158,R,0,R,355,R,9158,R,0,R,355,R,21232,R,0,R,815,R,9180,R,0,R,488,R,9180,R,0,R,488,R,21232,R,0,R,1116,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8094,R,0,R,8094,R,8794,R,0,R,8794,R,9192,R,0,R,9192,R,9158,R,0,R,9158,.,.,R,8094,R,0,R,8094,R,8794,R,0,R,8794,R,9192,R,0,R,9192,R,9158,R,0,R,9158,.,.,R,19424,R,0,R,19424,R,21108,R,0,R,21108,R,21506,R,0,R,21506,R,21232,R,0,R,21232,.,.,R,1567,R,1592,R,1592,R,1639,R,7930,R,8070,R,8433,R,8433,R,4100,R,4131,R,4249,R,4302,R,7930,R,8070,R,8433,R,8433,R,4100,R,4131,R,4249,R,4302,R,4100,R,4131,R,4249,R,4302
100724,R,6936,R,1784,R,289,R,6936,R,1784,R,289,R,13872,R,1784,R,578,R,6174,R,1784,R,343,R,6174,R,1784,R,343,R,12348,R,1784,R,686,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6312,R,1620,R,7932,R,6312,R,1620,R,7932,R,6936,R,1784,R,8720,R,6936,R,1784,R,8720,.,.,R,6312,R,1620,R,7932,R,6312,R,1620,R,7932,R,6936,R,1784,R,8720,R,6936,R,1784,R,8720,.,.,R,12624,R,1620,R,14244,R,12624,R,1620,R,14244,R,13872,R,1784,R,15656,R,13872,R,1784,R,15656,.,.,R,1600,R,1600,R,1600,R,1600,R,5366,R,5366,R,5422,R,5422,R,2544,R,2549,R,2544,R,2544,R,7320,R,7320,R,7320,R,7320,R,3172,R,3172,R,3172,R,3172,R,3172,R,3172,R,3172,R,3172
100751,R,9826,R,0,R,534,R,9826,R,0,R,534,R,24950,R,0,R,1179,R,9826,R,0,R,583,R,9826,R,0,R,583,R,24950,R,0,R,1299,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,25490,R,0,R,60934,R,0,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,21320,R,0,R,36000,R,0,R,8600,R,0,R,8600,R,9200,R,0,R,9200,R,9450,R,0,R,9450,R,9826,R,0,R,9826,.,.,R,8600,R,0,R,8600,R,9200,R,0,R,9200,R,9450,R,0,R,9450,R,9826,R,0,R,9826,.,.,R,21900,R,0,R,21900,R,22950,R,0,R,22950,R,23950,R,0,R,23950,R,24950,R,0,R,24950,.,.,R,1100,R,1100,R,1200,R,1200,R,10781,R,12450,R,12556,R,12716,R,3458,R,3967,R,3194,R,3463,R,10781,R,12450,R,12556,R,12716,R,3458,R,3967,R,3194,R,3463,R,3458,R,5763,R,4970,R,5312
100760,R,3085,R,406,R,113,R,3085,R,406,R,113,R,6170,R,406,R,226,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,3050,R,542,R,3592,R,3107,R,827,R,3934,R,3164,R,827,R,3991,R,3085,R,406,R,3491,.,.,R,3050,R,542,R,3592,R,3107,R,827,R,3934,R,3164,R,827,R,3991,R,3085,R,406,R,3491,.,.,R,6099,R,542,R,6641,R,6513,R,827,R,7340,R,6327,R,827,R,7154,R,6170,R,406,R,6576,.,.,R,1250,R,1250,R,1250,R,1300,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6225,R,6225,R,6225,R,6230,R,4267,R,4589,R,4647,R,5058,R,2734,R,2981,R,3024,R,2778
100812,R,5370,R,750,R,179,R,5370,R,750,R,179,R,10740,R,750,R,358,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
100830,R,8430,R,650,R,281,R,8430,R,650,R,281,R,18990,R,650,R,633,R,6264,R,650,R,348,R,6264,R,650,R,348,R,14094,R,650,R,783,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6930,R,650,R,7580,R,7500,R,650,R,8150,R,8100,R,650,R,8750,R,8430,R,650,R,9080,.,.,R,6930,R,650,R,7580,R,7500,R,650,R,8150,R,8100,R,650,R,8750,R,8430,R,650,R,9080,.,.,R,20790,R,650,R,21440,R,22500,R,650,R,23150,R,24300,R,650,R,24950,R,18990,R,650,R,19640,.,.,R,1000,R,1000,R,1000,R,1000,R,3970,R,5170,R,5290,R,5390,R,2900,R,2900,R,3414,R,2900,R,7790,R,7790,R,8780,R,7790,R,2900,R,2900,R,3414,R,2900,R,2900,R,2900,R,2900,R,2900
100858,R,8592,R,1608,R,358,R,8592,R,1608,R,358,R,25776,R,1608,R,1074,R,8586,R,1608,R,477,R,8586,R,1608,R,477,R,25758,R,1608,R,1431,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,8586,R,12174,R,25758,R,12174,Y,.,Y,.,Y,.,Y,.,R,8586,R,9608,R,25758,R,17608,Y,.,Y,.,Y,.,Y,.,R,7296,R,1402,R,8698,R,7872,R,1574,R,9446,R,8256,R,1596,R,9852,R,8592,R,1608,R,10200,.,.,R,7296,R,1402,R,8698,R,7872,R,1574,R,9446,R,8256,R,1596,R,9852,R,8592,R,1608,R,10200,.,.,R,21888,R,1402,R,23290,R,23616,R,1574,R,25190,R,24768,R,1596,R,26364,R,25776,R,1608,R,27384,.,.,R,1100,R,1100,R,1200,R,1200,R,9992,R,10606,R,11552,R,12178,R,2562,R,2636,R,2678,R,5586,R,9992,R,10606,R,11552,R,12178,R,2562,R,2636,R,2678,R,5586,R,2562,R,2636,R,2678,R,5586
