VA Specialty/Service/Program,Patient Friendly/Alternate Name,VA Specialty/Service/Program (Patient-Friendly Name),Stop Codes,Facility IA,Clinical Service?,Categorization #1,Categorization #2,Categorization #3 (Drupal),Categorization #4,Categorization #5,Provider Service Line (Access to Care)
Adaptive Sports,,Adaptive Sports (),,,,Program,,,,Social programs and services,
Complementary and alternative medicine,"Acupuncture, yoga, meditation ","Complementary and alternative medicine  (Acupuncture, yoga, meditation )",,Health services,,Service,Health Services,Primary Care,,Primary care,
Facility services and amenities,,Facility services and amenities (),,,,Service,Facility Services,,Other services,,
Gynecology,,Gynecology (),,,,Service,,,,,
Intimate partner violence,"Domestic violence, abuse ","Intimate partner violence (Domestic violence, abuse )",,,,Program,,,,,
"Lesbian, gay, bisexual, transgender (LGBT)",,"Lesbian, gay, bisexual, transgender (LGBT) ()",,,,Program,Patient and Family Services,Social Programs and Services (Service Advocacy Programs),Other services,Featured services,
Library,,Library (),,,,,,,,,
Minority veterans,,Minority veterans (),,,,Program,,,,,
My HealtheVet coordinator,,My HealtheVet coordinator (),,,,Service,Patient and Family Services,Care Coordinators,Other services,Featured services,
Recreation and creative arts therapy,,Recreation and creative arts therapy (),,,,Service,,,,,
"Registry exams (military exposures: Agent orange, burn pit, Gulf War) ",,"Registry exams (military exposures: Agent orange, burn pit, Gulf War)  ()",,,,Program,Patient and Family Services,Social Programs and Services (Service Advocacy Programs),Other services,Social programs and services,
Homeless services,,Homeless services (),"504 Mental Health Homeless GRANT AND PER DIEM GROUP
507 Mental Health Homeless HUD/VASH GROUP
508 Mental Health Homeless HCHV/HCMI GROUP
511 Mental Health Homeless GRANT AND PER DIEM
522 Mental Health Homeless HUD/VASH
529 Mental Health Homeless HCHV/HCMI
555 Mental Health Homeless Employment HOMELESS VETERAN COMMUNITY EMP SVC-IND
556 Mental Health Homeless Employment HOMELESS VETERAN COMMUNITY EMP SVC-GRP
590 Mental Health Homeless COMM OUTREACH HOMELESS",,,Program,Patient and Family Services,Care Coordinators,Other services,Social programs and services,
"Parking, transportation and travel reimbursement",,"Parking, transportation and travel reimbursement ()",,,,Program,Facility Services,Social Programs and Services (Service Advocacy Programs),Other services,,
Patient advocates,,Patient advocates (),,,,Service,,Social Programs and Services (Service Advocacy Programs),Other services,Featured services,
"Quality, safety, compliance, privacy, and ethics",,"Quality, safety, compliance, privacy, and ethics ()",,,,"Service,Program",Facility Services,,,,
Veterans service organizations and service advocacy programs,,Veterans service organizations and service advocacy programs (),,,,"Service,Program",Facility Services,,,,
Vocational rehabilitation and employment programs,Job and career training programs,Vocational rehabilitation and employment programs (Job and career training programs),,,,Program,Patient and Family Services,Social Programs and Services (Service Advocacy Programs),Other services,,
"Enrollment, benefits, eligibility & billing ",,"Enrollment, benefits, eligibility & billing  ()","656   DOD NON-VA CARE
669   COMMUNITY CARE CONSULT",,Yes,Programs,Facility Services,Social Programs and Services (Service Advocacy Programs),,Specialty care,
Facility programs and services,,Facility programs and services (),"999   OCCUPATIONAL HEALTH
356   WAR RELATED ILLNESS AND INJURY STUDY CENTER (WRIISC)
674   ADMIN PAT ACTIVITIES (MASNONCT)
680   HOME AND COMMUNITY-BASED CARE (HCBC)
682   VA-REFER TO HCBC PROVIDERS
683   HT NON-VIDEO MONITORING
685   CARE OF HT PROGRAM PATIENTS
686   TELEPHONE CONTACT BY HT STAFF",,Yes,Programs,Facility Services,,,,
Returning service members,"Post 9/11 Veterans (OEF, OIF, OND) transition and care management services","Returning service members  (Post 9/11 Veterans (OEF, OIF, OND) transition and care management services)",,,Yes,Program,Patient and Family Services,Social Programs and Services (Service Advocacy Programs),Other services,Social programs and services,
Suicide prevention/Veterans Crisis Line,,Suicide prevention/Veterans Crisis Line (),,,Yes,"Service,Program",Patient and Family Services,Mental Health,Other services,Mental and behavioral health,
Veteran and visitor lodging,"Fisher House, hoptel","Veteran and visitor lodging (Fisher House, hoptel)",,,Yes,Program,Patient and Family Services,Social Programs and Services (Service Advocacy Programs),Other services,,
"Allergy & asthma, immunology",Allergy & asthma,"Allergy & asthma, immunology (Allergy & asthma)",302 Medicine Allergy ALLERGY IMMUNOLOGY,Health services,Yes,Service,Health Services,Specialty Care,Health and medical services,Specialty care,Medicine
Anesthesia,,Anesthesia (),"441   TELEPHONE/ANESTHESIA
434   NON-OR ANESTHESIA PROC
419   ANESTHESIA CONSULT, INCLUDING PRE-PROCEDURE AND EXPANDED POST-PROCEDURE ASSESSMENT
427   ANESTHESIA SPECIAL PROCEDURES IN OPERATING ROOM SUITE OR A NON-OR PROCEDURE ROOM
432   PRE-SURGERY EVALUATION",Health services,Yes,"Service,Specialty",Health Services,Specialty Care,,Specialty care,Anesthesiology
Bariatric surgery,Weight loss surgery,Bariatric surgery (Weight loss surgery),487   BARIATRIC SURGERY,Health services,Yes,Service,Health Services,Specialty Care,,Specialty care,Surgery
Cardiology,Heart and circulation,Cardiology (Heart and circulation),"303 Medicine Cardiology CARDIOLOGY
311 Medicine Cardiology PACEMAKER
369 Medicine Cardiology EP LAB
231 Medicine Cardiology CARDIO-PULMONARY REHABILITATION
333 Medicine Cardiology CARDIAC CATHETERIZATION
334 Medicine Cardiology CARDIAC STRESS TEST/ETT
107 Diagnostic EKG EKG",Health services,Yes,"Specialty,Service",Health Services,Specialty Care,Health and medical services,Specialty care,Medicine
Cardiovascular surgery,Heart surgery,Cardiovascular surgery (Heart surgery),"311 Medicine Cardiology PACEMAKER
402   CARDIAC SURGERY",Health services,Yes,"Specialty,Service",Health Services,Specialty Care,,Specialty care,Medicine
Colon and rectal surgery,,Colon and rectal surgery (),412   PROCTOLOGY,Health services,Yes,Specialty,Health Services,Specialty Care,,Specialty care,Surgery
Critical care,,Critical care (),,Health services,Yes,"Specialty,Service",Health Services,Specialty Care,Health and medical services,Specialty care,Critical Care
Dental/Oral surgery,"Mouth, teeth, gums, and oral care","Dental/Oral surgery  (Mouth, teeth, gums, and oral care)",180 Ancillary Dental DENTAL,Health services,Yes,"Specialty,Service",Health Services,Specialty Care,Health and medical services,Specialty care,Dental
Dermatology,Skin conditions and diseases,Dermatology (Skin conditions and diseases),304 Medicine Dermatology DERMATOLOGY,Health services,Yes,"Specialty,Service",Health Services,Specialty Care,Health and medical services,Specialty care,
Diabetes,,Diabetes (),"306 Medicine Endocrinology DIABETES
718   DIABETIC RETINAL SCREENING",Health services,Yes,"Specialty,Service",Health Services,Primary Care,,Specialty care,Medicine
Emergency medicine,"Emergency and urgent care, Express care","Emergency medicine (Emergency and urgent care, Express care)","130 Medicine Emergency EMERGENCY DEPT,131 Medicine Emergency URGENT CARE UNIT",Health services,Yes,"Specialty,Service",Health Services,Specialty Care,Health and medical services,Primary care,Emergency Medicine
Endocrinology,Hormones,Endocrinology (Hormones),305 Medicine Endocrinology ENDO./METAB (EXCEPT DIABETES),Health services,Yes,"Specialty,Service",Health Services,Specialty Care,,Specialty care,Medicine
Gastroenterology,Digestive care,Gastroenterology (Digestive care),"307 Medicine Gastroenterology GASTROENTEROLOGY
321 Medicine Gastroenterology GI ENDOSCOPY
337 Medicine Gastroenterology HEPATOLOGY CLINIC",Health services,Yes,"Specialty,Service",Health Services,Specialty Care,Health and medical services,Specialty care,Medicine
Genomic medicine/medical genetics,Genetic medicine,Genomic medicine/medical genetics (Genetic medicine),340 Medicine General Medicine GENOMIC CARE,Health services,Yes,"Specialty,Service",Health Services,Specialty Care,,Specialty care,Medicine
