clinic_id,site_code,timestamp,primaryStopCode,primaryStopCodeName,secondaryStopCodeName,patientFriendlyLocationName,directSchedulingPatient,vaStationName
3609,405,2020-04-15T14:44:12.074205Z,304,DERMATOLOGY,PHYSICIAN ASSISTANT,,false,White River Junction VA Medical Center
2144,526,2020-04-15T11:50:02.293159Z,323,PRIMARY CARE/MEDICINE,*Missing*,,true,James J. Peters Department of Veterans Affairs Medical Center
2144,526,2020-04-15T11:50:19.017569Z,323,PRIMARY CARE/MEDICINE,*Missing*,,true,James J. Peters Department of Veterans Affairs Medical Center
2876,526,2020-04-18T06:40:38.879985Z,323,PRIMARY CARE/MEDICINE,*Missing*,QNS PACT TEAM 12B,true,Thomas P. Noonan Jr. Department of Veterans Affairs Outpatient Clinic
2876,526,2020-04-18T06:39:34.618860Z,323,PRIMARY CARE/MEDICINE,*Missing*,QNS PACT TEAM 12B,true,Thomas P. Noonan Jr. Department of Veterans Affairs Outpatient Clinic
11230,534,2020-04-20T21:44:19.929914Z,502,MENTAL HEALTH CLINIC - IND,RT CLIN VID TH PAT SITE,TELEMENTAL HEALTH,false,Hinesville VA Clinic
11230,534,2020-04-20T21:44:02.708973Z,502,MENTAL HEALTH CLINIC - IND,RT CLIN VID TH PAT SITE,TELEMENTAL HEALTH,false,Hinesville VA Clinic
7163,534,2020-04-19T10:37:02.993595Z,502,MENTAL HEALTH CLINIC - IND,PSYCHIATRY,GOOSE CREEK MENTAL HEALTH,false,Goose Creek VA Clinic
18935,537,2020-04-16T15:24:15.461750Z,314,RHEUMATOLOGY/ARTHRITIS,FELLOW/RESIDENT,,false,Jesse Brown Department of Veterans Affairs Medical Center
18935,537,2020-04-16T15:25:26.298143Z,314,RHEUMATOLOGY/ARTHRITIS,FELLOW/RESIDENT,,false,Jesse Brown Department of Veterans Affairs Medical Center
18935,537,2020-04-16T15:26:16.256289Z,314,RHEUMATOLOGY/ARTHRITIS,FELLOW/RESIDENT,,false,Jesse Brown Department of Veterans Affairs Medical Center
12270,549,2020-04-10T17:06:27.713169Z,550,MENTAL HEALTH CLINIC-GROUP,*Missing*,DALLAS MH,false,Dallas VA Medical Center
12345,549,2020-04-08T01:02:38.681835Z,502,MENTAL HEALTH CLINIC - IND,*Missing*,FTW MH STETSON IMAM,false,Fort Worth VA Clinic
12345,549,2020-04-07T16:43:00.072374Z,502,MENTAL HEALTH CLINIC - IND,*Missing*,FTW MH STETSON IMAM,false,Fort Worth VA Clinic
12345,549,2020-04-07T16:44:41.676103Z,502,MENTAL HEALTH CLINIC - IND,*Missing*,FTW MH STETSON IMAM,false,Fort Worth VA Clinic
12345,549,2020-04-07T17:01:27.396083Z,502,MENTAL HEALTH CLINIC - IND,*Missing*,FTW MH STETSON IMAM,false,Fort Worth VA Clinic
13152,549,2020-04-16T16:13:35.876549Z,408,OPTOMETRY,*Missing*,DALLAS EYE OPTOMETRY,false,Dallas VA Medical Center
14825,549,2020-04-19T19:39:37.997371Z,502,MENTAL HEALTH CLINIC - IND,PSYCHIATRY,FTW MH,false,Fort Worth VA Clinic
14825,549,2020-04-19T19:39:52.234275Z,502,MENTAL HEALTH CLINIC - IND,PSYCHIATRY,FTW MH,false,Fort Worth VA Clinic
582,549,2020-04-19T17:20:08.800417Z,115,ULTRASOUND,*Missing*,DALLAS XRAY SONO,false,Dallas VA Medical Center
8994,549,2020-04-18T16:11:20.192207Z,304,DERMATOLOGY,*Missing*,DALLAS DERMATOLOGY,false,Dallas VA Medical Center
8994,549,2020-04-18T16:10:37.926845Z,304,DERMATOLOGY,*Missing*,DALLAS DERMATOLOGY,false,Dallas VA Medical Center
