title.en,url,description.en,publish_start_on,publish_end_on,keyword_values,match_keyword_values_only,status
VAntage Point,www.blogs.va.gov,Official blog of the U.S. Department of Veterans Affairs,"April 2nd 2019, 00:00:00.000",,"[""blog"",""vantage point""]",FALSE,active
Community-based emergency care,www.va.gov/COMMUNITYCARE/programs/veterans/Emergency_Care.asp,"During a medical emergency, Veterans should immediately seek care at the nearest medical facility. If you believe your life or health is in danger, call 911 or go to the nearest emergency department right away.","June 12th 2019, 00:00:00.000",,"[""emergency care""]",FALSE,active
Diseases Related to Agent Orange,www.va.gov/disability/eligibility/hazardous-materials-exposure/agent-orange/related-diseases/,"Learn about certain cancers and other diseases we believe are related to Agent Orange exposure (called ""Agent Orange presumptives"").","November 8th 2018, 00:00:00.000",,[],FALSE,active
Gulf War Illnesses Linked to Service in Afghanistan,www.va.gov/disability/eligibility/hazardous-materials-exposure/gulf-war-illness-afghanistan/,"Find out if you can get VA disability compensation for illnesses linked to Gulf War service in Afghanistan (often called ""Gulf War Illness"").","November 8th 2018, 00:00:00.000",,"[""gulf war syndrome""]",FALSE,active
VA Disability Compensation for Posttraumatic Stress Disorder (PTSD),www.va.gov/disability/eligibility/ptsd/,"Find out if you're eligible for VA disability compensation for posttraumatic stress disorder (PSTD). Learn how to file your claim for PTSD disability payments, and get more information about our PTSD programs.","November 8th 2018, 00:00:00.000",,"[""ptsd""]",FALSE,active
VA Clothing Allowance for Veterans with Certain Disabilities,www.va.gov/disability/eligibility/special-claims/clothing-allowance/,"Find out if you can get a VA clothing allowance to replace clothing damaged by your prosthetic or orthopedic device or by certain medicines. To get a yearly payment, you'll need to qualify by August 1 of each year.","November 8th 2018, 00:00:00.000",,[],FALSE,active
VA Title 38 U.S.C. 1151 Claims,www.va.gov/disability/eligibility/special-claims/1151-claims-title-38/,Find out if you can get compensation from VA for a Title 38 U.S.C. 1151 claim.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Board of Veterans' Appeals (BVA) Hearing,www.va.gov/disability/file-an-appeal/board-of-veterans-appeals/,Find out what happens at a Board of Veterans Appeals (BVA) hearingand how to request one if you want a Veterans Law Judge to discuss your VA appeal.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Disability Compensation Effective Date,www.va.gov/disability/about-disability-ratings/effective-date/,"Learn about the VA disability compensation effective date, which is the date we receive your claim or the date you were first injured or first fell ill. Once we decide your claim, you may qualify to receive disability back pay.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Substance Use Treatment for Veterans,www.va.gov/health-care/health-needs-conditions/substance-use-problems/,Substance Use Treatment for Veterans,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Military Sexual Trauma (MST),www.va.gov/health-care/health-needs-conditions/military-sexual-trauma/,Military Sexual Trauma (MST),"November 8th 2018, 00:00:00.000",,[],FALSE,active
VA Mental Health Services,www.va.gov/health-care/health-needs-conditions/mental-health/,VA Mental Health Services,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Operation Enduring Freedom Veterans Health Issues,www.va.gov/health-care/health-needs-conditions/health-issues-related-to-service-era/operation-enduring-freedom/,Operation Enduring Freedom Veterans Health Issues,"November 8th 2018, 00:00:00.000",,[],FALSE,active
VA Vision Care,www.va.gov/health-care/about-va-health-benefits/vision-care/,VA vision care covers routine eye exam and preventive vision testing (like testing for glaucoma) for Veterans enrolled in VA health care. We also provide cost-free eyeglasses for Veterans who meet certain requirements. Learn more about VA vision care.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
VA Health Care and Other Insurance,www.va.gov/health-care/about-va-health-benefits/va-health-care-and-other-insurance/,"Learn how VA health care works with other health insurance (like Medicare, Medicaid, TRICARE, or private insurance plans).","November 8th 2018, 00:00:00.000",,"[""health insurance""]",FALSE,active
The Affordable Care Act and Your Health Coverage,www.va.gov/health-care/about-affordable-care-act/,The Affordable Care Act and Your Health Coverage,"November 8th 2018, 00:00:00.000",,"[""aca""]",FALSE,active
Fully Developed Claim Program,www.va.gov/pension/how-to-apply/fully-developed-claim/,The VA Fully Developed Claims program.,"November 8th 2018, 00:00:00.000",,"[""fdc"",""fully developed claims""]",FALSE,active
After You Apply for a Pre-Need Eligibility Determination,www.va.gov/burials-memorials/pre-need-eligibility/after-you-apply/,After You Apply for a Pre-Need Eligibility Determination,"November 8th 2018, 00:00:00.000",,[],FALSE,active
"Request Veterans Headstones, Grave Markers, and Medallions",www.va.gov/burials-memorials/memorial-items/headstones-markers-medallions/,"Find out how to apply for Veterans grave markers, headstones, and medallions to honor the service of a Veteran or eligible family member.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Fry Scholarships,www.va.gov/education/survivor-dependent-benefits/fry-scholarship/,Fry Scholarships,"November 8th 2018, 00:00:00.000",,[],FALSE,active
