index, file, result 
3, ../../vets.gov-team/Practice Areas/Research, does not exist or is not a markdown file 
5, ../../vets.gov-team/Practice Areas/Research/Discovery/Archive/End of Discovery Readout Template.pptx, does not exist or is not a markdown file 
6, ../../vets.gov-team/Practice Areas/Research/Discovery/Archive/Master Stakeholder Deck Template.pptx, does not exist or is not a markdown file 
12, ../../vets.gov-team/Practice Areas/Research/Discovery/USDS_Working_Backwards_Document_Template[1].pdf, does not exist or is not a markdown file 
16, ../../vets.gov-team/Practice Areas/Research/Request or Do Research, does not exist or is not a markdown file 
30, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Scheduling and Running Sessions/VA-Consent-Form-Generic.docx, does not exist or is not a markdown file 
31, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Scheduling and Running Sessions/VA.Consent.Form.1.docx, does not exist or is not a markdown file 
0, ../../vets.gov-team/Practice Areas/Research/research_plan_template.md, has been modified 
1, ../../vets.gov-team/Practice Areas/Research/Research History.md, has been modified 
2, ../../vets.gov-team/Practice Areas/Research/June2019_updated_research_process.md, has been modified 
4, ../../vets.gov-team/Practice Areas/Research/Discovery/readme.md, has been modified 
7, ../../vets.gov-team/Practice Areas/Research/Discovery/DiscoveryProjectBrief.md, has been modified 
8, ../../vets.gov-team/Practice Areas/Research/Discovery/DiscoverySprintHowTo.md, has been modified 
9, ../../vets.gov-team/Practice Areas/Research/Discovery/DiscoveryTeamKickOff.md, has been modified 
10, ../../vets.gov-team/Practice Areas/Research/Discovery/RetroHowTo.md, has been modified 
11, ../../vets.gov-team/Practice Areas/Research/Discovery/SampleDiscoverySprintSchedule.md, has been modified 
13, ../../vets.gov-team/Practice Areas/Research/Discovery/WhiteHouseLetters.md, has been modified 
14, ../../vets.gov-team/Practice Areas/Research/Discovery/supplemental-toolkit.md, has been modified 
15, ../../vets.gov-team/Practice Areas/Research/Discovery/workingwithstakeholders.md, has been modified 
17, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/5things_designers_researchers_wish_you_knew.md, has been modified 
18, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/lead-researcher-checklist-research-projects.md, has been modified 
19, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/veteran-population-demographics.md, has been modified 
20, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Planning and Process Management/readme.md, has been modified 
21, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Planning and Process Management/Conversation-guide-template.md, has been modified 
22, ../../vets.gov-team/Practice Areas/Product/UserAcceptanceTesting.md, has been modified 
24, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/PRA and Recruiting/perigean-recruiting-guidance.md, has been modified 
23, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/PRA and Recruiting/perigean-recruiting-guidance.md, has been modified 
25, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/PRA and Recruiting/PRA/readme.md, has been modified 
26, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/PRA and Recruiting/PRA/paperwork-reduction-act.md, has been modified 
27, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Scheduling and Running Sessions/what-to-do-with-research-session-recordings.md, has been modified 
28, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Scheduling and Running Sessions/GoTo Meeting Instructions.md, has been modified 
29, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Scheduling and Running Sessions/How-to-take-session-notes.md, has been modified 
32, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Scheduling and Running Sessions/Zoom Instructions.md, has been modified 
33, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Scheduling and Running Sessions/howto-observer-instructions.md, has been modified 
34, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Scheduling and Running Sessions/readme.md, has been modified 
35, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Synthesis/readme.md, has been modified 
36, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Synthesis/how-to-do-research_synthesis.md, has been modified 
37, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Synthesis/what-to-do-with-recordings.md, has been modified 
38, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Synthesis/how-to-use-reframer.md, has been modified 
39, ../../vets.gov-team/Practice Areas/Research/Request or Do Research/Synthesis/Session Report Template.md, has been modified 
